"","ID","Intensity","BP0","BP1","Omaxe","Pmaxe","Equation","Q0d","K","Alpha","R2","Q0se","Alphase","N","AbsSS","SdRes","Q0Low","Q0High","AlphaLow","AlphaHigh","EV","Omaxd","Pmaxd","Notes"
"1","1",7.08388448987154,NA,17,62.0670367531794,8,"hs",14.8015955736014,2.20339008444425,0.0032568659592781,0.611867477088038,7.18250919075602,0.000645122190368012,16,1.3192107776055,0.306967980834379,-0.603354524579341,30.2065456717822,0.00187321647329642,0.00464051544525979,0.9387782712691,24.991639356671,5.28247738828316,"converged"
"2","2",4.74235767968564,NA,17,49.1211904782163,11,"hs",10.0100132311726,2.23256446741534,0.0041582569373424,0.578475663387281,4.64915180723354,0.000784846665101383,17,1.45957423210951,0.311937411682698,0.100580724406219,19.9194457379389,0.00248539586967795,0.00583111800500685,0.720912683875803,19.283512077038,6.01578046011768,"converged"
"3","3",7.34959081784007,NA,17,55.6307685040571,10,"hs",8.37686981553338,2.02764901681301,0.00448216666440213,0.559220623255111,3.24542882460098,0.000671117614430554,17,1.07285370652208,0.267438928420688,1.45940202219101,15.2943376088757,0.00305171333010697,0.00591261999869729,0.77272119846304,19.9767818741517,7.5483301677937,"converged"
"4","4",10.9431829696185,NA,17,42.6134202509167,8,"hs",19.298344726676,1.88611137880618,0.0041293210848354,0.821212966877584,7.56603360435826,0.000579580127328495,16,0.541110102585634,0.19659786777394,3.0708165717096,35.5258728816423,0.00288624534315953,0.00537239682651126,0.934911159033017,23.591496692776,3.90733003164164,"converged"
"5","5",10.972515372797,NA,17,42.5367432711574,7,"hs",19.2103812825929,3.47754779442141,0.00212081908332466,0.593356138369614,12.9674263771969,0.000814703151696434,17,3.12029442989161,0.456091688873455,-8.42903377616324,46.8497963413491,0.000384320420875174,0.00385731774577414,0.727087563249768,23.1993460712797,3.55261507558408,"converged"
"6","6",5.94635853622947,NA,17,42.0004098438595,9,"hs",8.07818225500151,1.80646707871622,0.00581041754716292,0.518462374517245,3.83224277513689,0.001012723279561,16,1.28286842374868,0.302710189519929,-0.141161033981273,16.2975255439843,0.00363834213861604,0.00798249295570981,0.708838960938886,17.6417610517142,7.01923191648902,"converged"
"7","7",8.15286858158828,NA,17,34.0394340577068,12,"hs",10.1775455364827,2.29653035536531,0.00424559756974077,0.655262650527065,4.24957800109966,0.000741464586195939,17,1.15427254097767,0.277401338734773,1.11978443721803,19.2353066357474,0.00266520321444477,0.00582599192503677,0.676788372254546,18.2917288860611,5.58991790636054,"converged"
"8","8",10.4662102477636,NA,17,36.3116219031586,9,"hs",11.8085189077558,2.36960876746869,0.0036850831887831,0.549656409199612,5.80207207253643,0.000768851599081902,16,1.44106725150135,0.32083231618283,-0.635688035759985,24.2527258512716,0.00203606051408792,0.00533410586347828,0.743939693824472,20.3424454583599,5.33408995357939,"converged"
"9","9",9.29873655690112,NA,17,46.6288229354195,9,"hs",9.65017203305049,1.59546033657781,0.00566228048778589,0.74799297806965,2.66323771592365,0.000535044564177835,17,0.428147754747558,0.168947280681984,3.97361521372737,15.3267288523736,0.00452185999461482,0.00680270098095696,0.876354060180155,21.0266077869264,7.10536302052959,"converged"
"10","10",5.79832403837155,NA,17,44.4789145018092,8,"hs",9.98691957070977,2.13405849961362,0.00430662218484509,0.610897164914174,4.19970179498349,0.000715971033281984,17,1.1740131554093,0.279763370893963,1.03546708830564,18.9383720531139,0.00278056605132224,0.00583267831836793,0.744824144222874,19.6025808368173,6.1687094596665,"converged"
