"","HurshPmax","ObservedPmax","HurshDerivative","AnalyticPmax"
"299",3.84781263597662,4.11149721104522,3.82034623064799,3.82034617543823
"300",4.28401022022582,4.49779854893288,4.31623684998751,4.31623677323589
"301",6.75874213311059,5.01187233627272,7.04627769044439,7.0462776193215
"302",7.80872541740953,5.33334895487621,7.86793928644522,7.86793927134713
"303",4.7676917760783,4.88652359342834,4.76667353187196,4.76667347378617
"304",11.4966121012343,6.72976656284318,13.5111747796388,13.511174708052
"305",9.77036506723641,6.02559586074358,11.1335437538295,11.1335437073347
"306",8.45109258748546,5.58470194736831,9.00696791542732,9.00696785208566
"307",10.8276803300348,6.66806769213622,11.0892714442709,11.0892714053523
"308",5.19588231905732,4.75335225942805,5.19453084426509,5.1945308191792
"309",5.51627093496626,4.7206304126359,5.49094853431486,5.49094848437146
"310",6.54310191111545,5.40754322945581,6.88923229848037,6.88923224842805
"311",3.83245584888695,4.27562886151586,3.81005041748064,3.81005036951427
"312",5.45727787325811,4.6131757456038,5.44153081659618,5.44153076322482
"313",3.80696233000331,4.36515832240166,3.79937037781814,3.79937033931392
"314",2.7587863489076,3.76703798983909,2.75020389394856,2.75020385354388
"315",6.06663917520949,4.87528490103387,6.13295427445237,6.13295421362895
"316",4.45295492894175,4.02717034325459,4.60080104471469,4.60080104160969
"317",12.4067583255553,6.87068440014232,12.8862072038686,12.8862071667629
"318",6.46012239872013,5.53350109215737,6.41424646588221,6.41424645432379
"319",9.74507579898401,6.53130552647472,10.8762557113742,10.8762556681263
"320",4.40315961821554,4.67735141287198,4.37226527690817,4.37226524541808
"321",5.07642014251719,4.30526610491711,5.10998435282716,5.10998428477317
"322",7.03179158407079,5.44502652842421,7.10081141399708,7.10081137408123
"323",5.2828666056685,4.92039535681451,5.37399614563949,5.37399607097559
"324",6.43605767746851,5.29663443891658,6.88149812546199,6.88149804894842
"325",5.20130593277689,4.78630092322638,5.19156513338079,5.19156507584522
"326",6.13544560138978,4.69894108605216,6.21133657430364,6.21133651826773
"327",6.22105028134034,4.94310686986835,6.29922495446868,6.29922493541781
"328",7.26773258966353,5.43250331492433,7.40931659330314,7.40931653767468
"329",8.85006853753421,5.5975760149511,10.363420468278,10.3634203781616
"330",9.27328635786048,5.76766463392251,9.5094495957183,9.50944956437995
"331",4.92434967804361,4.60256573581356,4.98127281029517,4.98127273464079
"332",8.54570659348726,5.33334895487621,8.60601115713071,8.60601111597139
"333",5.3029991790763,4.89778819368446,5.28522478229354,5.28522473473758
"334",5.340353938643,4.63446919736288,5.309838810586,5.30983878099942
"335",7.01449213405127,5.00034534976978,7.42256142625467,7.42256135107712
"336",4.19422188786149,4.14954042634363,4.21414891466107,4.21414890531021
"337",6.89433266801404,5.30884444230988,7.10016039405768,7.10016037092522
"338",6.18320524647174,5.0815944256056,6.15728786914046,6.15728786913689
"339",5.93073694328474,4.89778819368446,6.28345791489511,6.28345782541884
"340",7.22523848363951,5.61047976032471,7.24885343903189,7.24885339307393
"341",6.17748841848229,5.17606831950568,6.5209075089476,6.52090742500626
"342",4.63530387309135,4.40554863506553,4.61182737761557,4.61182732373705
"343",4.50734331200519,4.46683592150963,4.5071338892287,4.50713381998787
"344",10.0072340301708,6.20869034230064,10.9100891034196,10.9100890422337
"345",4.74624691884008,4.78630092322638,4.71270818355237,4.71270814907218
"346",6.30439268317033,4.98884487460012,6.60508744347656,6.60508740506522
"347",7.96199229281796,5.67544605408547,8.23514251023841,8.23514249969999
"348",5.85909025894979,4.63446919736288,5.90071689478503,5.9007168462067
"349",9.51774900755609,5.58470194736831,10.2454303221778,10.2454302776148
"350",8.47375140312163,4.74241985260245,8.93041836328517,8.93041836159265
"351",5.94861976624844,4.97737084978936,6.20841988305299,6.20841980901998
"352",5.19386161008049,4.73151258961481,5.20506958822086,5.20506952550063
"353",6.73951480332336,5.38269782516288,7.11170532536175,7.1117052484741
"354",5.43400844455847,5.14043651582426,5.43056198015576,5.43056192344904
"355",6.19328405576076,4.93173803954936,6.26360879652281,6.26360879640408
"356",5.26025742926088,4.88652359342834,5.51229682159913,5.51229675478693
"357",5.58723587608562,4.65586093522959,5.58997967290453,5.58997961642206
"358",10.1005727774101,6.3241185137622,11.0415045023196,11.0415044941775
"359",4.56377777222768,4.60256573581356,4.53134631384731,4.53134626765845
"360",4.90134350535385,4.80839348449728,4.94691562681103,4.94691555286652
"361",8.8966688082619,5.54625712957911,9.37070322249347,9.37070321617542
"362",6.11860583294377,5.24807460249773,6.27768598220564,6.27768598208614
"363",4.88163329214832,4.79733448636689,4.85281805640965,4.8528180563282
"364",7.28726376786864,5.17606831950568,7.67654023330772,7.67654016381991
"365",5.98103088621698,4.98884487460012,6.11055138506498,6.11055131661066
"366",6.30482180767763,5.01187233627272,6.38422970492357,6.38422964549573
"367",3.89054080115845,4.10204102986607,3.86356328875364,3.86356322726462
"368",6.53522308350244,5.10504999975406,6.69548552538034,6.69548546186433
"369",5.06116830405561,4.35511873685569,5.05203145045003,5.05203139122131
"370",4.01947100903783,4.47713304176363,3.99227589456234,3.99227583613028
"371",12.7990486043385,6.72976656284318,14.4957244424973,14.4957243868769
"372",5.92502601799515,4.88652359342834,6.07245932279197,6.0724592531109
"373",6.97151686492905,5.38269782516288,7.26681402966212,7.26681396969829
"374",5.46394532873911,4.79733448636689,5.4309346226781,5.430934575559
"375",5.16483939557032,4.49779854893288,5.13161259833434,5.13161255502164
"376",8.84243685674573,5.79428696426881,8.98073305028661,8.980733019417
"377",4.99320865066048,5.01187233627272,5.10491054625219,5.10491046454213
"378",11.2074394294149,6.62216503701762,12.7586870612118,12.7586870118409
"379",8.52209708374941,5.71478636671867,8.68464587943435,8.68464583309767
"380",9.53418757099557,6.10942024905572,11.7073318989832,11.7073318122743
"381",4.47636807193545,4.54988060150048,4.45373124343741,4.45373118303346
"382",5.30903970584367,4.75335225942805,5.27926125737889,5.27926121490133
"383",7.27260836281579,5.34564359396972,7.36281714959169,7.36281709805035
"384",4.44346128299969,4.40554863506553,4.42901960175385,4.42901955244398
"385",7.30483208347636,5.30884444230988,7.48603826124259,7.48603820336981
"386",5.71629878606431,4.86407205691462,5.74161410487568,5.74161409401434
"387",8.9080528018198,5.47015962893972,9.25312218984005,9.25312213707222
"388",7.15312059970559,5.09330871057195,7.13145121439155,7.13145118251512
